Time,Annotation,Vector-4,,,,Head,,,ChinCenter,,,MouthLowerlipMidbottom,,,MouthLowerlipMidtop,,,NoseBottom,,,NoseTip,,,MouthUpperlipMidtop,,,NoseTop,,,ForeheadCenter,,,MouthLeftcorner,,,LefteyebrowOuter,,,NoseTopleft,,,NoseBottomleft,,,LefteyeInnercorner,,,LefteyebrowCenter,,,LefteyeMidtop,,,LefteyebrowInner,,,LeftcheekCenter,,,Leftcheekbone,,,LefteyeOutercorner,,,Rightcheekbone,,,MouthRightcorner,,,RighteyeMidtop,,,RighteyebrowOuter,,,NoseTopright,,,NoseBottomright,,,RighteyebrowInner,,,RighteyeInnercorner,,,RighteyebrowCenter,,,RightcheekCenter,,,MouthUpperlipMidbottom,,,RighteyeMidbottom,,,LefteyeMidbottom,,,RighteyeOutercorner,,,LowerjawLeftend,,,LowerjawRightend,,,
T,A,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,
21:41:22,,0.9956688,-0.04421311,-0.07277861,0.0373118,0.01388313,0.1313564,0.9439825,0.03222128,0.08801883,0.8534796,0.0313174,0.109107,0.8397408,0.03047221,0.1193826,0.8369786,0.028559,0.1465881,0.8323888,0.02955416,0.160442,0.8183645,0.02989138,0.1313466,0.8313174,0.02372291,0.1996283,0.8361913,0.02080097,0.2440161,0.8317453,0.00521519,0.1193255,0.8460331,-0.03918053,0.2022289,0.8533592,0.01077285,0.1909212,0.8444334,0.01039933,0.148145,0.8389195,0.001428025,0.1951502,0.8493335,-0.01868493,0.2127654,0.8368941,-0.008035365,0.1976834,0.8434495,0.004986396,0.2081916,0.8354613,-0.03446725,0.1371711,0.8627412,-0.03469393,0.1693286,0.853343,-0.02503102,0.1932506,0.8493714,0.07906356,0.1784393,0.8694109,0.05083248,0.122444,0.852366,0.05178761,0.2017964,0.85213,0.07812306,0.2113651,0.8704059,0.03516565,0.1929931,0.8479549,0.04385585,0.1507349,0.8437376,0.03983416,0.2106481,0.8403487,0.04199481,0.1980133,0.8552408,0.06189361,0.2185034,0.8481668,0.08178376,0.1466185,0.8786803,0.03001317,0.1223356,0.8350161,0.05291409,0.1952429,0.8551255,-0.008759674,0.190869,0.8461404,0.06711435,0.2005867,0.862847,-0.03894169,0.1104885,0.9040647,0.07890229,0.1205735,0.9215959,
21:41:22,,0.9966889,-0.04379473,-0.06019039,0.03271744,0.01453265,0.1303987,0.9438272,0.03105139,0.08748391,0.8526168,0.02967908,0.108727,0.8390717,0.02867293,0.1189534,0.836409,0.02660289,0.1456005,0.8319796,0.02737518,0.1594168,0.8178824,0.02778036,0.1303485,0.8309162,0.02238825,0.1987657,0.8358908,0.01980222,0.2432217,0.8315321,0.003437581,0.1186844,0.8459331,-0.04009731,0.2019158,0.8546335,0.009542326,0.1900454,0.8444245,0.008581096,0.1473265,0.8389264,0.0003718175,0.1943904,0.8495491,-0.02007868,0.2123672,0.8376555,-0.009213153,0.1970342,0.8439115,0.003565229,0.2076706,0.8355705,-0.03568821,0.1368275,0.8635597,-0.03589053,0.1689086,0.8544078,-0.02609329,0.1927651,0.8502511,0.07831948,0.1769695,0.8677602,0.0493957,0.1216627,0.8514302,0.05101291,0.2008997,0.8510574,0.07783636,0.2100393,0.8687153,0.03407576,0.1918795,0.8473367,0.04221661,0.1496443,0.8429563,0.03900884,0.2100601,0.8395795,0.04114555,0.1970038,0.8543928,0.06136413,0.2177144,0.8470368,0.08104449,0.1452817,0.8770857,0.02791052,0.121344,0.8346586,0.05211005,0.1941128,0.8540613,-0.009927101,0.1902123,0.8466079,0.06648951,0.1992557,0.8613548,-0.03919584,0.1101113,0.9048265,0.07903508,0.1192723,0.9200053,
21:41:22,,0.9966889,-0.04379473,-0.06019039,0.03271744,0.01453265,0.1303987,0.9438272,0.03105139,0.08748391,0.8526168,0.02967908,0.108727,0.8390717,0.02867293,0.1189534,0.836409,0.02660289,0.1456005,0.8319796,0.02737518,0.1594168,0.8178824,0.02778036,0.1303485,0.8309162,0.02238825,0.1987657,0.8358908,0.01980222,0.2432217,0.8315321,0.003437581,0.1186844,0.8459331,-0.04009731,0.2019158,0.8546335,0.009542326,0.1900454,0.8444245,0.008581096,0.1473265,0.8389264,0.0003718175,0.1943904,0.8495491,-0.02007868,0.2123672,0.8376555,-0.009213153,0.1970342,0.8439115,0.003565229,0.2076706,0.8355705,-0.03568821,0.1368275,0.8635597,-0.03589053,0.1689086,0.8544078,-0.02609329,0.1927651,0.8502511,0.07831948,0.1769695,0.8677602,0.0493957,0.1216627,0.8514302,0.05101291,0.2008997,0.8510574,0.07783636,0.2100393,0.8687153,0.03407576,0.1918795,0.8473367,0.04221661,0.1496443,0.8429563,0.03900884,0.2100601,0.8395795,0.04114555,0.1970038,0.8543928,0.06136413,0.2177144,0.8470368,0.08104449,0.1452817,0.8770857,0.02791052,0.121344,0.8346586,0.05211005,0.1941128,0.8540613,-0.009927101,0.1902123,0.8466079,0.06648951,0.1992557,0.8613548,-0.03919584,0.1101113,0.9048265,0.07903508,0.1192723,0.9200053,
21:41:22,,0.9971869,-0.04313245,-0.05456959,0.02792929,0.01404905,0.1306657,0.9432871,0.02981799,0.08774947,0.8520161,0.0283595,0.1089083,0.8384733,0.02727361,0.1191395,0.8358137,0.02508263,0.1459263,0.831355,0.02580963,0.1597593,0.8172559,0.02615074,0.1306778,0.8302668,0.02141608,0.1991508,0.8353811,0.01921768,0.2436599,0.8311151,0.002079631,0.1189624,0.84566,-0.04076376,0.2029859,0.8546311,0.00859637,0.1905757,0.8440148,0.007105236,0.1477794,0.8385509,-0.0004925849,0.1951063,0.8491924,-0.02067816,0.2132323,0.8375139,-0.01021539,0.1980474,0.8436257,0.002772722,0.2081319,0.8351492,-0.03663801,0.1375573,0.8633953,-0.03689279,0.1697686,0.8544455,-0.02695486,0.1936983,0.8501542,0.07754228,0.1767704,0.8666378,0.04806464,0.1217743,0.8506643,0.05046252,0.2016691,0.8501194,0.07739873,0.2101535,0.8674546,0.03314887,0.1921555,0.8466558,0.04085948,0.1498143,0.8421485,0.03839391,0.2107148,0.8387029,0.04037468,0.1974798,0.8535491,0.06094875,0.2183955,0.8461349,0.08023287,0.1450674,0.875942,0.02626061,0.1216722,0.8339927,0.05149132,0.1944752,0.853206,-0.01096812,0.1909854,0.8464223,0.0658607,0.1993501,0.8601835,-0.03998756,0.110837,0.9046457,0.07836823,0.1190446,0.9190072,
21:41:22,,0.9971869,-0.04313245,-0.05456959,0.02792929,0.01404905,0.1306657,0.9432871,0.02981799,0.08774947,0.8520161,0.0283595,0.1089083,0.8384733,0.02727361,0.1191395,0.8358137,0.02508263,0.1459263,0.831355,0.02580963,0.1597593,0.8172559,0.02615074,0.1306778,0.8302668,0.02141608,0.1991508,0.8353811,0.01921768,0.2436599,0.8311151,0.002079631,0.1189624,0.84566,-0.04076376,0.2029859,0.8546311,0.00859637,0.1905757,0.8440148,0.007105236,0.1477794,0.8385509,-0.0004925849,0.1951063,0.8491924,-0.02067816,0.2132323,0.8375139,-0.01021539,0.1980474,0.8436257,0.002772722,0.2081319,0.8351492,-0.03663801,0.1375573,0.8633953,-0.03689279,0.1697686,0.8544455,-0.02695486,0.1936983,0.8501542,0.07754228,0.1767704,0.8666378,0.04806464,0.1217743,0.8506643,0.05046252,0.2016691,0.8501194,0.07739873,0.2101535,0.8674546,0.03314887,0.1921555,0.8466558,0.04085948,0.1498143,0.8421485,0.03839391,0.2107148,0.8387029,0.04037468,0.1974798,0.8535491,0.06094875,0.2183955,0.8461349,0.08023287,0.1450674,0.875942,0.02626061,0.1216722,0.8339927,0.05149132,0.1944752,0.853206,-0.01096812,0.1909854,0.8464223,0.0658607,0.1993501,0.8601835,-0.03998756,0.110837,0.9046457,0.07836823,0.1190446,0.9190072,
21:41:22,,0.9995291,-0.02182668,-0.02008005,0.007864285,0.01562999,0.1293836,0.9356645,0.0213716,0.08995306,0.8412361,0.02102087,0.1143781,0.8308563,0.0206022,0.1245085,0.8302382,0.01976278,0.1496196,0.8255848,0.0200401,0.163701,0.8107145,0.02016331,0.1351302,0.8249834,0.0185849,0.2029894,0.8306777,0.01793279,0.2479439,0.828379,-0.006464029,0.1254262,0.8410493,-0.04249415,0.2081576,0.8544627,0.005856114,0.1936757,0.8396355,0.001583682,0.1527336,0.8342448,-0.002662364,0.1986414,0.8454836,-0.02476374,0.2196059,0.8365366,-0.01275968,0.2025273,0.8407995,-0.000967741,0.2144084,0.831709,-0.04110935,0.1431779,0.8598938,-0.0397079,0.174829,0.8524575,-0.02899002,0.1982024,0.848266,0.07595555,0.1769217,0.85726,0.04631691,0.1265598,0.8439131,0.04919622,0.2040564,0.8431824,0.07755391,0.2104461,0.85928,0.03089058,0.1941109,0.8406321,0.03701481,0.1534065,0.8357315,0.03794297,0.2157461,0.833163,0.03880491,0.1995031,0.8470386,0.06140635,0.2218167,0.8401372,0.07843931,0.1453265,0.8653624,0.02017026,0.1259718,0.829439,0.04992324,0.1960129,0.8459246,-0.01348772,0.1949557,0.8433589,0.06475174,0.1999228,0.8519346,-0.04221622,0.1140791,0.9001024,0.07735526,0.1164615,0.9058323,
21:41:22,,0.9995291,-0.02182668,-0.02008005,0.007864285,0.01562999,0.1293836,0.9356645,0.0213716,0.08995306,0.8412361,0.02102087,0.1143781,0.8308563,0.0206022,0.1245085,0.8302382,0.01976278,0.1496196,0.8255848,0.0200401,0.163701,0.8107145,0.02016331,0.1351302,0.8249834,0.0185849,0.2029894,0.8306777,0.01793279,0.2479439,0.828379,-0.006464029,0.1254262,0.8410493,-0.04249415,0.2081576,0.8544627,0.005856114,0.1936757,0.8396355,0.001583682,0.1527336,0.8342448,-0.002662364,0.1986414,0.8454836,-0.02476374,0.2196059,0.8365366,-0.01275968,0.2025273,0.8407995,-0.000967741,0.2144084,0.831709,-0.04110935,0.1431779,0.8598938,-0.0397079,0.174829,0.8524575,-0.02899002,0.1982024,0.848266,0.07595555,0.1769217,0.85726,0.04631691,0.1265598,0.8439131,0.04919622,0.2040564,0.8431824,0.07755391,0.2104461,0.85928,0.03089058,0.1941109,0.8406321,0.03701481,0.1534065,0.8357315,0.03794297,0.2157461,0.833163,0.03880491,0.1995031,0.8470386,0.06140635,0.2218167,0.8401372,0.07843931,0.1453265,0.8653624,0.02017026,0.1259718,0.829439,0.04992324,0.1960129,0.8459246,-0.01348772,0.1949557,0.8433589,0.06475174,0.1999228,0.8519346,-0.04221622,0.1140791,0.9001024,0.07735526,0.1164615,0.9058323,
21:41:22,,0.9995291,-0.02182668,-0.02008005,0.007864285,0.01562999,0.1293836,0.9356645,0.0213716,0.08995306,0.8412361,0.02102087,0.1143781,0.8308563,0.0206022,0.1245085,0.8302382,0.01976278,0.1496196,0.8255848,0.0200401,0.163701,0.8107145,0.02016331,0.1351302,0.8249834,0.0185849,0.2029894,0.8306777,0.01793279,0.2479439,0.828379,-0.006464029,0.1254262,0.8410493,-0.04249415,0.2081576,0.8544627,0.005856114,0.1936757,0.8396355,0.001583682,0.1527336,0.8342448,-0.002662364,0.1986414,0.8454836,-0.02476374,0.2196059,0.8365366,-0.01275968,0.2025273,0.8407995,-0.000967741,0.2144084,0.831709,-0.04110935,0.1431779,0.8598938,-0.0397079,0.174829,0.8524575,-0.02899002,0.1982024,0.848266,0.07595555,0.1769217,0.85726,0.04631691,0.1265598,0.8439131,0.04919622,0.2040564,0.8431824,0.07755391,0.2104461,0.85928,0.03089058,0.1941109,0.8406321,0.03701481,0.1534065,0.8357315,0.03794297,0.2157461,0.833163,0.03880491,0.1995031,0.8470386,0.06140635,0.2218167,0.8401372,0.07843931,0.1453265,0.8653624,0.02017026,0.1259718,0.829439,0.04992324,0.1960129,0.8459246,-0.01348772,0.1949557,0.8433589,0.06475174,0.1999228,0.8519346,-0.04221622,0.1140791,0.9001024,0.07735526,0.1164615,0.9058323,
21:41:22,,0.9990509,-0.02843806,-0.02897676,0.01577974,0.01442045,0.1303769,0.9360079,0.02212458,0.08957532,0.8424215,0.02160043,0.1133371,0.8312922,0.02110925,0.1235251,0.8302151,0.0201328,0.1491256,0.8254206,0.02049826,0.1630448,0.8106465,0.02072452,0.1345107,0.8247864,0.01805906,0.2027324,0.8301342,0.01673544,0.2476581,0.827208,-0.005601635,0.1243282,0.8407955,-0.04370327,0.2070626,0.8530523,0.005266426,0.1931272,0.8390005,0.001938455,0.1518936,0.833724,-0.003410121,0.1979494,0.8446686,-0.02638756,0.2188675,0.8352241,-0.01337899,0.2014087,0.8398068,-0.002076516,0.2143536,0.8307713,-0.04113778,0.1420402,0.8593228,-0.04012319,0.1737767,0.8512481,-0.02977141,0.1971802,0.8470454,0.07530379,0.1777453,0.8579246,0.04597428,0.1263249,0.8439494,0.04835894,0.2041427,0.8431531,0.07637693,0.2113039,0.8596731,0.03034517,0.1940454,0.8404009,0.03700872,0.1531359,0.8357137,0.03718103,0.2157014,0.8328118,0.03803893,0.1995819,0.8468897,0.0603492,0.2220704,0.8400564,0.07790662,0.1462269,0.8663446,0.02078529,0.1254034,0.8291495,0.04917409,0.1962593,0.8459876,-0.01399951,0.1941088,0.8423309,0.06387321,0.2005168,0.8522495,-0.04268205,0.1136162,0.8999433,0.07676062,0.117905,0.9073882,
